store_id,product_id,stock_quantity,reorder_level,snapshot_date
S001,P00001,-20,25,2026-07-01
S999,P00002,42,25,2026-07-01
S001,P00003,32,25,2026-07-01
S001,P00004,156,25,2026-07-01
S001,P00005,218,25,2026-07-01
S001,P00006,68,25,2026-07-01
S001,P00007,16,25,2026-07-01
S001,P00008,71,25,2026-07-01
S001,P00009,196,25,2026-07-01
S001,P00010,53,25,2026-07-01
S001,P00011,173,25,2026-07-01
S001,P00012,270,25,2026-07-01
S001,P00013,65,25,2026-07-01
S001,P00014,44,25,2026-07-01
S001,P00015,187,25,2026-07-01
S001,P00016,232,25,2026-07-01
S001,P00017,86,25,2026-07-01
S001,P00018,291,25,2026-07-01
S001,P00019,132,25,2026-07-01
S001,P00020,224,25,2026-07-01
S001,P00021,88,25,2026-07-01
S001,P00022,237,25,2026-07-01
S001,P00023,238,25,2026-07-01
S001,P00024,7,25,2026-07-01
S001,P00025,202,25,2026-07-01
S001,P00026,175,25,2026-07-01
S001,P00027,47,25,2026-07-01
S001,P00028,55,25,2026-07-01
S001,P00029,229,25,2026-07-01
S001,P00030,214,25,2026-07-01
S001,P00031,201,25,2026-07-01
S001,P00032,40,25,2026-07-01
S001,P00033,14,25,2026-07-01
S001,P00034,151,25,2026-07-01
S001,P00035,55,25,2026-07-01
S001,P00036,262,25,2026-07-01
S001,P00037,56,25,2026-07-01
S001,P00038,171,25,2026-07-01
S001,P00039,49,25,2026-07-01
S001,P00040,44,25,2026-07-01
S001,P00041,250,25,2026-07-01
S001,P00042,118,25,2026-07-01
S001,P00043,191,25,2026-07-01
S001,P00044,211,25,2026-07-01
S001,P00045,137,25,2026-07-01
S001,P00046,203,25,2026-07-01
S001,P00047,44,25,2026-07-01
S001,P00048,5,25,2026-07-01
S001,P00049,5,25,2026-07-01
S001,P00050,54,25,2026-07-01
S001,P00051,6,25,2026-07-01
S001,P00052,53,25,2026-07-01
S001,P00053,239,25,2026-07-01
S001,P00054,85,25,2026-07-01
S001,P00055,149,25,2026-07-01
S001,P00056,114,25,2026-07-01
S001,P00057,187,25,2026-07-01
S001,P00058,192,25,2026-07-01
S001,P00059,135,25,2026-07-01
S001,P00060,0,25,2026-07-01
S001,P00061,65,25,2026-07-01
S001,P00062,241,25,2026-07-01
S001,P00063,50,25,2026-07-01
S001,P00064,138,25,2026-07-01
S001,P00065,223,25,2026-07-01
S001,P00066,18,25,2026-07-01
S001,P00067,178,25,2026-07-01
S001,P00068,201,25,2026-07-01
S001,P00069,119,25,2026-07-01
S001,P00070,161,25,2026-07-01
S001,P00071,185,25,2026-07-01
S001,P00072,21,25,2026-07-01
S001,P00073,59,25,2026-07-01
S001,P00074,135,25,2026-07-01
S001,P00075,132,25,2026-07-01
S001,P00076,248,25,2026-07-01
S001,P00077,245,25,2026-07-01
S001,P00078,56,25,2026-07-01
S001,P00079,287,25,2026-07-01
S001,P00080,291,25,2026-07-01
S001,P00081,174,25,2026-07-01
S001,P00082,63,25,2026-07-01
S001,P00083,185,25,2026-07-01
S001,P00084,190,25,2026-07-01
S001,P00085,159,25,2026-07-01
S001,P00086,142,25,2026-07-01
S001,P00087,244,25,2026-07-01
S001,P00088,67,25,2026-07-01
S001,P00089,54,25,2026-07-01
S001,P00090,13,25,2026-07-01
S001,P00091,203,25,2026-07-01
S001,P00092,238,25,2026-07-01
S001,P00093,108,25,2026-07-01
S001,P00094,250,25,2026-07-01
S001,P00095,223,25,2026-07-01
S001,P00096,68,25,2026-07-01
S001,P00097,248,25,2026-07-01
S001,P00098,191,25,2026-07-01
S001,P00099,121,25,2026-07-01
S001,P00100,257,25,2026-07-01
S001,P00101,150,25,2026-07-01
S001,P00102,267,25,2026-07-01
S001,P00103,33,25,2026-07-01
S001,P00104,90,25,2026-07-01
S001,P00105,105,25,2026-07-01
S001,P00106,28,25,2026-07-01
S001,P00107,216,25,2026-07-01
S001,P00108,297,25,2026-07-01
S001,P00109,290,25,2026-07-01
S001,P00110,212,25,2026-07-01
S001,P00111,47,25,2026-07-01
S001,P00112,259,25,2026-07-01
S001,P00113,123,25,2026-07-01
S001,P00114,194,25,2026-07-01
S001,P00115,234,25,2026-07-01
S001,P00116,90,25,2026-07-01
S001,P00117,36,25,2026-07-01
S001,P00118,136,25,2026-07-01
S001,P00119,213,25,2026-07-01
S001,P00120,197,25,2026-07-01
S001,P00121,172,25,2026-07-01
S001,P00122,274,25,2026-07-01
S001,P00123,91,25,2026-07-01
S001,P00124,111,25,2026-07-01
S001,P00125,45,25,2026-07-01
S001,P00126,122,25,2026-07-01
S001,P00127,130,25,2026-07-01
S001,P00128,218,25,2026-07-01
S001,P00129,282,25,2026-07-01
S001,P00130,250,25,2026-07-01
S001,P00131,148,25,2026-07-01
S001,P00132,94,25,2026-07-01
S001,P00133,284,25,2026-07-01
S001,P00134,188,25,2026-07-01
S001,P00135,111,25,2026-07-01
S001,P00136,16,25,2026-07-01
S001,P00137,0,25,2026-07-01
S001,P00138,168,25,2026-07-01
S001,P00139,175,25,2026-07-01
S001,P00140,296,25,2026-07-01
S001,P00141,85,25,2026-07-01
S001,P00142,28,25,2026-07-01
S001,P00143,175,25,2026-07-01
S001,P00144,121,25,2026-07-01
S001,P00145,236,25,2026-07-01
S001,P00146,153,25,2026-07-01
S001,P00147,134,25,2026-07-01
S001,P00148,261,25,2026-07-01
S001,P00149,121,25,2026-07-01
S001,P00150,281,25,2026-07-01
S001,P00151,162,25,2026-07-01
S001,P00152,273,25,2026-07-01
S001,P00153,181,25,2026-07-01
S001,P00154,71,25,2026-07-01
S001,P00155,7,25,2026-07-01
S001,P00156,36,25,2026-07-01
S001,P00157,75,25,2026-07-01
S001,P00158,243,25,2026-07-01
S001,P00159,86,25,2026-07-01
S001,P00160,154,25,2026-07-01
S001,P00161,93,25,2026-07-01
S001,P00162,104,25,2026-07-01
S001,P00163,168,25,2026-07-01
S001,P00164,243,25,2026-07-01
S001,P00165,96,25,2026-07-01
S001,P00166,169,25,2026-07-01
S001,P00167,68,25,2026-07-01
S001,P00168,247,25,2026-07-01
S001,P00169,282,25,2026-07-01
S001,P00170,57,25,2026-07-01
S001,P00171,50,25,2026-07-01
S001,P00172,260,25,2026-07-01
S001,P00173,275,25,2026-07-01
S001,P00174,210,25,2026-07-01
S001,P00175,279,25,2026-07-01
S001,P00176,28,25,2026-07-01
S001,P00177,29,25,2026-07-01
S001,P00178,103,25,2026-07-01
S001,P00179,187,25,2026-07-01
S001,P00180,180,25,2026-07-01
S001,P00181,87,25,2026-07-01
S001,P00182,24,25,2026-07-01
S001,P00183,39,25,2026-07-01
S001,P00184,81,25,2026-07-01
S001,P00185,118,25,2026-07-01
S001,P00186,84,25,2026-07-01
S001,P00187,66,25,2026-07-01
S001,P00188,134,25,2026-07-01
S001,P00189,268,25,2026-07-01
S001,P00190,107,25,2026-07-01
S001,P00191,244,25,2026-07-01
S001,P00192,215,25,2026-07-01
S001,P00193,83,25,2026-07-01
S001,P00194,47,25,2026-07-01
S001,P00195,172,25,2026-07-01
S001,P00196,44,25,2026-07-01
S001,P00197,98,25,2026-07-01
S001,P00198,216,25,2026-07-01
S001,P00199,152,25,2026-07-01
S001,P00200,244,25,2026-07-01
S001,P00201,23,25,2026-07-01
S001,P00202,200,25,2026-07-01
S001,P00203,53,25,2026-07-01
S001,P00204,15,25,2026-07-01
S001,P00205,149,25,2026-07-01
S001,P00206,126,25,2026-07-01
S001,P00207,229,25,2026-07-01
