order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_amount
OI00000005,O0000001,P00195,0,1764.99,0,3529.98
OI00000006,O0000001,P00447,2,11288.99,150,22577.98
OI00000007,O0000001,P99999,2,13201.99,0,26403.98
OI00000008,O0000001,P00400,2,4849.99,15,8244.98
OI00000009,O0000002,P00107,3,14708.99,10,39714.27
OI00000010,O0000002,P00018,1,2515.99,0,2515.99
OI00000011,O0000002,P00319,1,18752.99,5,17815.34
OI00000012,O0000003,P00221,2,5326.99,0,10653.98
OI00000013,O0000003,P00293,4,15190.99,15,51649.37
OI00000014,O0000003,P00258,3,10395.99,0,31187.97
OI00000015,O0000004,P00238,3,7655.99,15,19522.77
OI00000016,O0000004,P00086,3,11831.99,10,31946.37
OI00000017,O0000005,P00409,4,6082.99,0,24331.96
OI00000018,O0000006,P00162,1,22243.99,5,21131.79
OI00000019,O0000006,P00190,3,1079.99,0,3239.97
OI00000020,O0000006,P00209,2,3682.99,0,7365.98
OI00000021,O0000006,P00087,4,11968.99,5,45482.16
OI00000022,O0000006,P00058,4,7995.99,0,31983.96
OI00000023,O0000007,P00316,3,18341.99,0,55025.97
OI00000024,O0000007,P00158,3,21695.99,0,65087.97
OI00000025,O0000007,P00182,1,24983.99,10,22485.59
OI00000026,O0000007,P00091,1,12516.99,5,11891.14
OI00000027,O0000007,P00435,4,9644.99,10,34721.96
OI00000028,O0000008,P00197,4,2038.99,0,8155.96
OI00000029,O0000008,P00021,3,2926.99,0,8780.97
OI00000030,O0000008,P00361,4,24506.99,0,98027.96
OI00000031,O0000008,P00217,4,4778.99,5,18160.16
OI00000032,O0000009,P00388,3,3205.99,5,9137.07
OI00000033,O0000009,P00353,4,23410.99,0,93643.96
OI00000034,O0000010,P00069,3,9502.99,0,28508.97
OI00000035,O0000010,P00330,2,20259.99,0,40519.98
OI00000036,O0000010,P00071,4,9776.99,10,35197.16
OI00000037,O0000011,P00059,1,8132.99,15,6913.04
OI00000038,O0000011,P00480,2,15809.99,0,31619.98
OI00000039,O0000011,P00111,2,15256.99,0,30513.98
OI00000040,O0000011,P00135,4,18544.99,0,74179.96
OI00000041,O0000011,P00282,3,13683.99,0,41051.97
OI00000042,O0000012,P00220,3,5189.99,0,15569.97
OI00000043,O0000012,P00205,1,3134.99,0,3134.99
OI00000044,O0000012,P00180,1,24709.99,15,21003.49
OI00000045,O0000012,P00040,4,5529.99,0,22119.96
OI00000046,O0000013,P00126,2,17311.99,0,34623.98
OI00000047,O0000013,P00146,4,20051.99,5,76197.56
OI00000048,O0000013,P00080,1,11009.99,10,9908.99
OI00000049,O0000014,P00231,4,6696.99,0,26787.96
OI00000050,O0000014,P00303,2,16560.99,0,33121.98
OI00000051,O0000014,P00288,4,14505.99,15,49320.37
OI00000052,O0000015,P00445,3,11014.99,0,33044.97
OI00000053,O0000015,P00159,2,21832.99,0,43665.98
OI00000054,O0000016,P00256,1,10121.99,0,10121.99
OI00000055,O0000017,P00206,1,3271.99,0,3271.99
OI00000056,O0000017,P00324,1,19437.99,0,19437.99
OI00000057,O0000017,P00293,2,15190.99,10,27343.78
OI00000058,O0000017,P00373,3,1150.99,0,3452.97
OI00000059,O0000017,P00244,3,8477.99,0,25433.97
OI00000060,O0000018,P00268,2,11765.99,0,23531.98
OI00000061,O0000018,P00156,4,21421.99,0,85687.96
OI00000062,O0000018,P00145,2,19914.99,10,35846.98
OI00000063,O0000018,P00348,1,22725.99,10,20453.39
OI00000064,O0000018,P00127,1,17448.99,0,17448.99
OI00000065,O0000019,P00326,2,19711.99,5,37452.78
OI00000066,O0000019,P00303,2,16560.99,0,33121.98
OI00000067,O0000019,P00065,2,8954.99,0,17909.98
OI00000068,O0000019,P00426,1,8411.99,5,7991.39
OI00000069,O0000019,P00478,1,15535.99,10,13982.39
OI00000070,O0000020,P00244,4,8477.99,5,32216.36
OI00000071,O0000020,P00132,1,18133.99,0,18133.99
OI00000072,O0000020,P00308,2,17245.99,10,31042.78
OI00000073,O0000021,P00410,3,6219.99,5,17726.97
OI00000074,O0000022,P00021,2,2926.99,0,5853.98
OI00000075,O0000022,P00093,4,12790.99,0,51163.96
OI00000076,O0000022,P00126,2,17311.99,0,34623.98
OI00000077,O0000022,P00071,1,9776.99,0,9776.99
OI00000078,O0000022,P00318,4,18615.99,0,74463.96
OI00000079,O0000023,P00378,2,1835.99,0,3671.98
OI00000080,O0000023,P00208,3,3545.99,5,10106.07
OI00000081,O0000023,P00424,3,8137.99,0,24413.97
OI00000082,O0000023,P00222,2,5463.99,5,10381.58
OI00000083,O0000024,P00060,3,8269.99,0,24809.97
OI00000084,O0000025,P00482,2,16083.99,0,32167.98
