order_id,customer_id,store_id,order_timestamp,sales_channel,order_status,total_amount,updated_at
O0015001,C888888,S024,2026-07-13T02:49:00,WEB,COMPLETED,116152.09,2026-07-13T02:49:00
O0015002,C000065,S004,2026-07-12T22:03:00,WEB,COMPLETED,-1.00,2026-07-12T22:03:00
O0015003,C002359,S019,2026-07-10T13:25:00,MOBILE,COMPLETED,14177.85,2026-07-10T13:25:00
O0015004,C004098,S021,2026-07-12T12:16:00,WEB,COMPLETED,42192.96,2026-07-12T12:16:00
O0015005,C003457,S013,2026-07-11T11:37:00,STORE,COMPLETED,112897.93,2026-07-11T11:37:00
O0015006,C000006,S006,2026-07-11T04:40:00,WEB,COMPLETED,79642.40,2026-07-11T04:40:00
O0015007,C002665,S004,2026-07-09T04:51:00,MOBILE,COMPLETED,209433.86,2026-07-09T04:51:00
O0015008,C004657,S020,2026-07-12T07:37:00,WEB,COMPLETED,62695.99,2026-07-12T07:37:00
O0015009,C000658,S009,2026-07-09T07:07:00,STORE,COMPLETED,84611.11,2026-07-09T07:07:00
O0015010,C000019,S005,2026-07-09T10:30:00,STORE,COMPLETED,138184.93,2026-07-09T10:30:00
O0015011,C002193,S008,2026-07-10T09:25:00,STORE,COMPLETED,103870.93,2026-07-10T09:25:00
O0015012,C000375,S016,2026-07-13T08:32:00,STORE,COMPLETED,69238.62,2026-07-13T08:32:00
O0015013,C003426,S007,2026-07-13T05:10:00,STORE,COMPLETED,26057.97,2026-07-13T05:10:00
O0015014,C004363,S020,2026-07-10T01:16:00,STORE,COMPLETED,77934.14,2026-07-10T01:16:00
O0015015,C000891,S022,2026-07-12T13:41:00,WEB,COMPLETED,35082.13,2026-07-12T13:41:00
O0015016,C001355,S014,2026-07-09T17:43:00,STORE,COMPLETED,98446.93,2026-07-09T17:43:00
O0015017,C005034,S003,2026-07-08T22:00:00,WEB,COMPLETED,143660.32,2026-07-08T22:00:00
O0015018,C000136,S003,2026-07-10T21:44:00,WEB,COMPLETED,86607.78,2026-07-10T21:44:00
O0015019,C001765,S014,2026-07-14T06:28:00,STORE,COMPLETED,51341.37,2026-07-14T06:28:00
O0015020,C002127,S018,2026-07-11T23:27:00,STORE,COMPLETED,95662.08,2026-07-11T23:27:00
O0015021,C004729,S014,2026-07-08T15:35:00,MOBILE,COMPLETED,31388.85,2026-07-08T15:35:00
O0015022,C001513,S025,2026-07-10T01:06:00,MOBILE,COMPLETED,56391.05,2026-07-10T01:06:00
O0015023,C002277,S004,2026-07-11T15:08:00,WEB,COMPLETED,45519.10,2026-07-11T15:08:00
O0015024,C002520,S018,2026-07-11T04:04:00,MOBILE,COMPLETED,133962.65,2026-07-11T04:04:00
O0015025,C002694,S020,2026-07-14T04:31:00,MOBILE,COMPLETED,60977.23,2026-07-14T04:31:00
O0015026,C004216,S011,2026-07-14T06:36:00,STORE,COMPLETED,109616.24,2026-07-14T06:36:00
O0015027,C003959,S004,2026-07-14T02:54:00,MOBILE,COMPLETED,44948.97,2026-07-14T02:54:00
O0015028,C000658,S010,2026-07-10T11:02:00,STORE,COMPLETED,126346.84,2026-07-10T11:02:00
O0015029,C005221,S011,2026-07-11T16:05:00,WEB,COMPLETED,145338.69,2026-07-11T16:05:00
O0015030,C004698,S020,2026-07-10T21:07:00,WEB,COMPLETED,68142.46,2026-07-10T21:07:00
O0015031,C004148,S023,2026-07-10T22:28:00,WEB,COMPLETED,75163.52,2026-07-10T22:28:00
O0015032,C000121,S022,2026-07-11T22:52:00,MOBILE,COMPLETED,190249.09,2026-07-11T22:52:00
