product_id,product_name,category,brand,unit_price,is_active
P00001,Electronics Product 1,Electronics,Brand2,-10.00,true
P00002,Home Product 2,Home,Brand3,346.67,true
P00003,Fashion Product 3,Fashion,Brand4,493.26,true
P00004,Grocery Product 4,Grocery,Brand5,639.85,true
P00005,Sports Product 5,Sports,Brand6,786.44,true
P00006,Beauty Product 6,Beauty,Brand7,933.03,true
P00007,Books Product 7,Books,Brand8,1079.62,true
P00008,Electronics Product 8,Electronics,Brand9,1226.21,true
P00009,Home Product 9,Home,Brand10,1372.80,true
P00010,Fashion Product 10,Fashion,Brand11,1519.39,true
P00011,Grocery Product 11,Grocery,Brand12,1665.98,true
P00012,Sports Product 12,Sports,Brand13,1812.57,true
P00013,Beauty Product 13,Beauty,Brand14,1959.16,true
P00014,Books Product 14,Books,Brand15,2105.75,true
P00015,Electronics Product 15,Electronics,Brand16,2252.34,true
P00016,Home Product 16,Home,Brand17,2398.93,true
P00017,Fashion Product 17,Fashion,Brand18,2545.52,true
P00018,Grocery Product 18,Grocery,Brand19,2692.11,true
P00019,Sports Product 19,Sports,Brand20,2838.70,true
P00020,Beauty Product 20,Beauty,Brand21,2985.29,true
P00021,Books Product 21,Books,Brand22,3131.88,true
P00022,Electronics Product 22,Electronics,Brand23,3278.47,true
P00023,Home Product 23,Home,Brand24,3425.06,true
P00024,Fashion Product 24,Fashion,Brand25,3571.65,true
P00025,Grocery Product 25,Grocery,Brand26,3718.24,true
P00501,Grocery Product 501,Grocery,Brand12,2829.25,true
P00502,Sports Product 502,Sports,Brand13,2833.50,true
P00503,Beauty Product 503,Beauty,Brand14,2837.75,true
P00504,Books Product 504,Books,Brand15,2842.00,true
P00505,Electronics Product 505,Electronics,Brand16,2846.25,true
P00506,Home Product 506,Home,Brand17,2850.50,true
P00507,Fashion Product 507,Fashion,Brand18,2854.75,true
P00508,Grocery Product 508,Grocery,Brand19,2859.00,true
P00509,Sports Product 509,Sports,Brand20,2863.25,true
P00510,Beauty Product 510,Beauty,Brand21,2867.50,true
P00511,Books Product 511,Books,Brand22,2871.75,true
P00512,Electronics Product 512,Electronics,Brand23,2876.00,true
P00513,Home Product 513,Home,Brand24,2880.25,true
P00514,Fashion Product 514,Fashion,Brand25,2884.50,true
P00515,Grocery Product 515,Grocery,Brand26,2888.75,true
P00516,Sports Product 516,Sports,Brand27,2893.00,true
P00517,Beauty Product 517,Beauty,Brand28,2897.25,true
P00518,Books Product 518,Books,Brand29,2901.50,true
P00519,Electronics Product 519,Electronics,Brand30,2905.75,true
P00520,Home Product 520,Home,Brand31,2910.00,true
P00521,Fashion Product 521,Fashion,Brand32,2914.25,true
P00522,Grocery Product 522,Grocery,Brand33,2918.50,true
P00523,Sports Product 523,Sports,Brand34,2922.75,true
P00524,Beauty Product 524,Beauty,Brand35,2927.00,true
P00525,Books Product 525,Books,Brand1,2931.25,true
